_id,email,password,fullName,address[0].fullName,address[0].phone,address[0].province,address[0].district,address[0].ward,address[0].address,address[0].isDefault,address[0]._id,avatar,role,createdAt,updatedAt,__v,phone,isDeleted,resetPasswordExpire,resetPasswordToken
69291fc073215e923c2a7d9c,admin@gmail.com,$2b$10$LvtSId7rexcbA8B4KXyN3.CVgomKGs1bnz3FQNFdLMH1SpBOXrK6a,Admin,,,,,,,,,,admin,2025-09-02T21:18:00Z,2026-03-31T04:07:00Z,0,0901234567,False,,
b147c5a48776c6549027856c,minh.nguyen@example.com,$2b$10$LvtSId7rexcbA8B4KXyN3.CVgomKGs1bnz3FQNFdLMH1SpBOXrK6a,Nguyen Minh,,,,,,,,,,user,2025-10-15T08:23:00Z,2026-04-08T16:14:00Z,0,0918934840,False,,
50d83bf3615543cb3a606532,lan.tran@example.com,$2b$10$LvtSId7rexcbA8B4KXyN3.CVgomKGs1bnz3FQNFdLMH1SpBOXrK6a,Tran Lan,,,,,,,,,,user,2025-10-18T01:00:00Z,2026-03-27T15:54:00Z,0,0970519861,False,,
bdad327b5746c2f632e0f109,hoang.pham@example.com,$2b$10$LvtSId7rexcbA8B4KXyN3.CVgomKGs1bnz3FQNFdLMH1SpBOXrK6a,Pham Hoang,,,,,,,,,,user,2025-10-21T10:24:00Z,2026-03-31T16:53:00Z,0,0923143986,False,,
56afd07d375ebd4311631588,linh.vo@example.com,$2b$10$LvtSId7rexcbA8B4KXyN3.CVgomKGs1bnz3FQNFdLMH1SpBOXrK6a,Vo Linh,,,,,,,,,,user,2025-10-24T04:37:00Z,2026-03-25T03:10:00Z,0,0951582379,False,,
709b6055c5d5075387ee253c,tuan.le@example.com,$2b$10$LvtSId7rexcbA8B4KXyN3.CVgomKGs1bnz3FQNFdLMH1SpBOXrK6a,Le Tuan,,,,,,,,,,user,2025-10-27T08:25:00Z,2026-04-01T10:10:00Z,0,0937880294,False,,
b51c831b4e20806f584309b3,thao.bui@example.com,$2b$10$LvtSId7rexcbA8B4KXyN3.CVgomKGs1bnz3FQNFdLMH1SpBOXrK6a,Bui Thao,,,,,,,,,,user,2025-10-30T15:25:00Z,2026-04-06T17:59:00Z,0,0983552114,False,,
74b0b9bace9193a08bc614dc,khanh.do@example.com,$2b$10$LvtSId7rexcbA8B4KXyN3.CVgomKGs1bnz3FQNFdLMH1SpBOXrK6a,Do Khanh,,,,,,,,,,user,2025-11-02T06:09:00Z,2026-03-27T18:53:00Z,0,0967224806,False,,
9074af7255b77636ad67f2a8,mai.huynh@example.com,$2b$10$LvtSId7rexcbA8B4KXyN3.CVgomKGs1bnz3FQNFdLMH1SpBOXrK6a,Huynh Mai,,,,,,,,,,user,2025-11-05T09:48:00Z,2026-03-22T07:36:00Z,0,0972496373,False,,
8c6423388eb9e489af8a1579,hieu.truong@example.com,$2b$10$LvtSId7rexcbA8B4KXyN3.CVgomKGs1bnz3FQNFdLMH1SpBOXrK6a,Truong Hieu,,,,,,,,,,user,2025-11-08T06:32:00Z,2026-03-22T13:23:00Z,0,0933844763,False,,
6e74047a5dcb1702467bfe6d,my.phan@example.com,$2b$10$LvtSId7rexcbA8B4KXyN3.CVgomKGs1bnz3FQNFdLMH1SpBOXrK6a,Phan My,,,,,,,,,,user,2025-11-11T18:16:00Z,2026-04-08T05:37:00Z,0,0975807494,False,,
2a7c342dfa799c979a80511f,duc.ngo@example.com,$2b$10$LvtSId7rexcbA8B4KXyN3.CVgomKGs1bnz3FQNFdLMH1SpBOXrK6a,Ngo Duc,,,,,,,,,,user,2025-11-14T10:20:00Z,2026-03-29T05:33:00Z,0,0960978713,False,,
234be2061face0c6afab3a12,yen.dang@example.com,$2b$10$LvtSId7rexcbA8B4KXyN3.CVgomKGs1bnz3FQNFdLMH1SpBOXrK6a,Dang Yen,,,,,,,,,,user,2025-11-17T17:34:00Z,2026-03-26T11:17:00Z,0,0965985857,False,,
